Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Лупій,Валентина,Віталіївна,Жіноча,12-05-1971,Медик,село Приморськ,"узвіз Квітки-Основ’яненка, буд. 65 кв. 0, Святогірськ, 28431",026-29-56,iustym56@example.org
Медведенко,Соломон,Євгенович,Чоловіча,04-03-2001,Дизайнер,хутір Керч,"узвіз Басейний 6-й, буд. 664 кв. 58, Долина, 23539",+380 98 280-23-95,kiefymenko@example.org
Шевченко,Сніжана,Юріївна,Жіноча,30-12-1983,Електрослюсар,місто Калинівка,"вулиця Михайлівська, буд. 287, Голубівка, 32888",+380 (27) 604-85-50,shchorsliubov@example.net
Кальченко,Ганна,Єфремівна,Жіноча,02-05-1969,Флорист,селище Бахчисарай,"сквер Кутова, буд. 999, Підгайці, 93786",+380 (81) 113-77-72,petro71@example.com
Засуха,Аркадій,Леонідович,Чоловіча,31-07-2002,Музикознавець,село Білогірськ,"проспект Цегляна, буд. 390 кв. 257, Новоград-Волинський, 41638",009 726-78-50,lemeshkoorkhyp@example.com
Гавриленко,Дарина,Леонідівна,Жіноча,14-11-1989,Архітектор,місто Остер,"набережна Шкодова гора, буд. 789 кв. 1, Великі Мости, 63099",628-35-74,rkozachenko@example.org
Шевченко,Пантелеймон,Тимофійович,Чоловіча,15-07-1950,Паралегал,селище Чернігів,"узвіз Василя Кандинського 1-й, буд. 571, Щастя, 52315",521-83-55,jruban@example.org
Дубенко,Азар,Антонович,Чоловіча,27-06-1992,Стоматолог,село Путивль,"вулиця Китобійний 2-й, буд. 237, Путивль, 93245",066-47-13,coberemko@example.org
Чуйко,Віолетта,Артемівна,Жіноча,04-01-1947,Кінолог,місто Погребище,"проспект Будівельний, буд. 381 кв. 778, Хрестівка, 89257",+380 64 569-32-15,oleh73@example.net
Колодуб,Олена,Віталіївна,Жіноча,29-08-2005,Кухар,селище Погребище,"набережна 7-ма Лінія 6-й ст. Люстдорфської дороги, буд. 6 кв. 08, Мена, 61255",546 37 86,alina18@example.com
Бабенко,Оксана,Степанівна,Жіноча,29-07-1984,Музикознавець,селище Чернівці,"площа Лінія 26-та, буд. 8, Тернопіль, 40122",071 53 29,onysymkorpaniuk@example.com
Гаврилюк,Василь,Максимович,Чоловіча,22-07-1981,Ґрунтознавець,місто Нововолинськ,"площа Кримська, буд. 683 кв. 489, Кальміуське, 45282",035 372-71-95,piatachenkoviktor@example.org
Євтушенко,Марта,Степанівна,Жіноча,01-12-1998,Детектив,хутір Свалява,"проспект Литавровий, буд. 3 кв. 10, Сколе, 65473",+380 01 439 24 63,priska87@example.net
Шило,Михайлина,Петрівна,Жіноча,05-09-2001,Дантист,село Кременець,"парк Дворникова, буд. 4 кв. 3, Перевальськ, 98628",+380 07 475-46-34,jkylymnyk@example.com
Стельмах,Амвросій,Володимирович,Чоловіча,01-01-1965,Диригент,місто Довжанськ,"парк Херсонський, буд. 74, Сімферополь, 13717",+380 (81) 355-40-97,vitalii08@example.net
Франчук,Камілла,Максимівна,Жіноча,08-03-2003,Няня,хутір Токмак,"сквер Генерала Алмазова, буд. 8 кв. 244, Берегове, 88791",088 881 57 92,eduard76@example.net
Арсенич,Герман,Леонідович,Чоловіча,06-09-1959,Клоун,місто Берегове,"сквер Отамана Чепіги, буд. 871, Татарбунари, 48012",+380 05 572-52-98,edyta69@example.net
Тарасенко,Алевтин,Артемович,Чоловіча,27-12-1968,Різноробочий,селище Жмеринка,"провулок Миколи Савича, буд. 87 кв. 4, Яготин, 49000",478 79 26,hanna60@example.org
Абрамчук,Степан,Борисович,Чоловіча,25-07-1971,Фізик,хутір Яремче,"парк Чубаївський, буд. 69 кв. 0, Бахмут, 26125",+380 85 808-81-54,hupaloostap@example.org
Іванченко,Ілля,Аркадійович,Чоловіча,08-09-1957,Астроном,село Українськ,"шосе Мазепи Івана, буд. 96 кв. 260, Ланівці, 80983",+380 68 246 73 68,sirchenkoonysym@example.org
Голобородько,Демид,Григорович,Чоловіча,13-06-1968,Реставратор,місто Суходільськ,"узвіз Юннатів 2-й, буд. 406 кв. 7, Ялта, 16541",+380 (37) 851-82-89,veibozhenko@example.com
Яремчук,Аркадій,Григорович,Чоловіча,12-01-1956,Провізор,село Оріхів,"сквер Обільна, буд. 927, Бобринець, 92219",+380 87 655-18-42,iakivdubenko@example.com
Луценко,Левко,Олегович,Чоловіча,22-01-1994,Антрополог,місто Ковель,"площа Олени Теліги, буд. 00 кв. 51, Новодружеськ, 62379",+380 00 505 67 88,mykhailynazaika@example.org
Рудько,Лілія,Віталіївна,Жіноча,24-04-1978,Професор,місто Корець,"шосе Траса Здоров'я, буд. 01 кв. 2, Чернівці, 64639",035 364-73-40,ieshchenkoolha@example.net
Дашенко,Борислав,Максимович,Чоловіча,07-05-1984,Лікар,село Чорноморськ,"набережна Сливовий, буд. 7 кв. 431, Жашків, 32082",304-33-08,ihnat08@example.org
Фаренюк,Гаврило,Станіславович,Чоловіча,12-08-2002,Дантист,хутір Бахмач,"парк Овідіопольська дуга, буд. 46, Привілля, 52543",+380 40 512 51 77,artem05@example.com
Оліфіренко,Олесь,Валентинович,Чоловіча,24-12-1982,Музикант,хутір Хоростків,"шосе Дачна, буд. 1 кв. 9, Оріхів, 52722",020 859 54 62,tieroshenko@example.net
Зарудний,Орися,Валентинівна,Жіноча,03-09-2003,Живописець,хутір Сіверськодонецьк,"шосе П'ята, буд. 731 кв. 9, Міусинськ, 09029",+380 43 782-27-18,ihorrudko@example.org
Ященко,Амвросій,Веніамінович,Чоловіча,23-06-2008,Літературознавець,село Липовець,"шосе Бітумна, буд. 093 кв. 02, Любомль, 03944",+380 99 033-90-03,uhupalo@example.net
Демʼянчук,Марта,Дмитрівна,Жіноча,30-08-1958,Гінеколог,хутір Зміїв,"вулиця Маршрутна, буд. 8 кв. 350, Суходільськ, 13241",+380 (37) 914-09-22,lsalii@example.com
Рябошапка,Павло,Романович,Чоловіча,06-03-1995,Водій,село Святогірськ,"площа Старопортофранківська, буд. 708 кв. 44, Авдіївка, 58613",+380 17 511-67-11,deisunvalentyna@example.org
Чуприна,Зиновій,Єгорович,Чоловіча,30-03-1993,Скульптор,хутір Щастя,"парк Виноградна 2-га, буд. 983 кв. 60, Сквира, 82526",262 67 32,svitlanaiaremenko@example.com
Гаврилів,Розалія,Валентинівна,Жіноча,20-04-1962,Каскадер,хутір Нова Одеса,"шосе Заводська 3-тя, буд. 78, Буча, 82917",+380 03 814-23-87,alina82@example.com
Аверченко,Гордій,Валентинович,Чоловіча,19-11-1945,Літературознавець,селище Татарбунари,"вулиця Щоглова, буд. 16, Боярка, 17453",416 43 03,imykytiuk@example.com
Шинкаренко,Ірена,Іллівна,Жіноча,08-08-1960,Перекладач,хутір Новодружеськ,"провулок Світлий, буд. 25 кв. 13, Кролевець, 36609",065 170-42-45,ebandurka@example.net
Лесик,Федір,Андрійович,Чоловіча,20-03-1972,Громадський діяч,селище Брянка,"узвіз Художника Федорова, буд. 99 кв. 3, Сніжне, 90562",748 00 56,makar03@example.com
Цюпа,Михайло,Богданович,Чоловіча,19-04-1976,Електромонтажник,хутір Добропілля,"узвіз Суднобудівний, буд. 781 кв. 2, Світловодськ, 13177",079 616-86-04,makar48@example.com
Щорс,Людмила,Ігорівна,Жіноча,29-11-1986,Мікробіолог,хутір Тетіїв,"парк Соні Делоне, буд. 0, Бершадь, 77267",719-16-94,fkhorishko@example.net
Артимишина,Анжела,Михайлівна,Жіноча,10-02-1942,Інженер,місто Переяслав,"шосе 17-та Лінія 6-й ст. Люстдорфської дороги, буд. 36, Кипуче, 07932",011 44 00,mbatiuk@example.com
Тарасенко,Юстина,Дмитрівна,Жіноча,26-05-1959,Гінеколог,хутір Ічня,"вулиця Байкал тупик, буд. 1 кв. 814, Одеса, 95721",+380 87 783-26-08,pholyk@example.com
Влох,Ірена,Святославівна,Жіноча,30-04-2005,Каскадер,село Красноперекопськ,"сквер Санаторний, буд. 0, Шептицький, 20962",169-71-71,vzaichenko@example.net
Кащенко,Альбіна,Павлівна,Жіноча,15-05-1963,Реабілітолог,місто Вознесенівка,"сквер Садова 4-та, буд. 30 кв. 6, Старобільськ, 61419",+380 11 238-25-80,lizakozachenko@example.com
Чміль,Тимофій,Петрович,Чоловіча,21-01-1952,Ді-джей,хутір Дергачі,"парк Ковиловий, буд. 176, Канів, 57262",037 087 75 21,plysenko@example.net
Ткач,Зиновій,Віталійович,Чоловіча,14-11-1977,Мікробіолог,місто Баранівка,"проспект Тещин міст, буд. 6 кв. 95, Іршава, 77689",+380 54 958 76 17,sofiia99@example.org
Байрак,Євген,Богданович,Чоловіча,06-12-1964,Редактор,хутір Шпола,"набережна Мукачівський, буд. 0 кв. 142, Вовчанськ, 03941",+380 58 996-33-93,stanislav35@example.net
Гаврилюк,Захар,Аркадійович,Чоловіча,12-08-1944,Детектив,село Канів,"сквер Євгена Крамаренка, буд. 843 кв. 64, Новгород-Сіверський, 94113",458 82 92,cbazavluchenko@example.com
Швайка,Левко,Борисович,Чоловіча,03-04-1961,Няня,селище Севастополь,"узвіз Михайла Божія, буд. 0, Глобине, 90629",046 303 55 72,fzaiets@example.com
Рудик,Віктор,Сергійович,Чоловіча,24-05-1956,Ді-джей,хутір Буринь,"площа Південна, буд. 1, Полтава, 66276",083 241-12-66,larysa35@example.com
Симоненко,Анжела,Євгенівна,Жіноча,30-05-1945,Музикознавець,місто Феодосія,"парк Ігоря Іванова, буд. 4, Костопіль, 58615",+380 (84) 756-21-22,zinchenkonazar@example.com
Ярош,Ольга,Захарівна,Жіноча,19-12-1963,Кінорежисер,селище Чигирин,"набережна Семінарська, буд. 868, Надвірна, 14172",+380 90 911-56-79,fradchenko@example.org
Ватаманюк,Нестор,Віталійович,Чоловіча,12-03-1987,Ді-джей,хутір Ніжин,"набережна Асташкіна, буд. 047, Кам'янка-Бузька, 09783",045 467-24-46,irena20@example.com
Щорс,Йосип,Антонович,Чоловіча,10-01-1986,Фотограф,село Монастириська,"набережна Південна дорога, буд. 0, Христинівка, 38584",+380 30 542 11 44,tetianasmyk@example.net
Пелех,Володимира,Єфремівна,Жіноча,18-01-1956,Співак,хутір Лохвиця,"проспект Ватманський, буд. 872 кв. 0, Переяслав, 94590",+380 39 798-96-31,yvobla@example.com
Тягнибок,Яків,Павлович,Чоловіча,09-10-1964,Мікробіолог,село Оріхів,"провулок Республіканська, буд. 86 кв. 08, Тиврів, 87780",007 359-22-05,frantskorsun@example.net
Вернидуб,Олег,Ігоревич,Чоловіча,26-01-1956,Стропальник,хутір Надвірна,"набережна 2-га Лінія 6-й ст. Люстдорфської дороги, буд. 2, Нововолинськ, 46410",019 770-99-44,alina21@example.org
Андрійович,Лукʼян,Васильович,Чоловіча,08-08-1996,Електротехнік,селище Залізне,"сквер Вітчизняна, буд. 9 кв. 90, Буринь, 19970",414-59-69,alevtynvasylevych@example.com
